,appid,average_2weeks,average_forever,ccu,developer,discount,genre,initialprice,languages,median_2weeks,median_forever,name,negative,owners,positive,price,publisher,score_rank,tags,userscore
278,9460,1,184,2,Kaos Studios,0,Action,1999,"English, French, Italian, Spanish - Spain",1,83,Frontlines: Fuel of War,224,"200,000 .. 500,000",374,1999,THQ Nordic,22,9,61
279,9480,475,796,108,Volition,0,Action,999,"English, French, German, Italian, Spanish - Spain, Dutch, Danish, Swedish, Russian",105,98,Saints Row 2,2825,"2,000,000 .. 5,000,000",9342,999,Deep Silver,44,20,76
280,9500,0,68,0,Cryptic Sea,0,Indie,999,English,0,12,Gish,95,"200,000 .. 500,000",160,999,Chronic Logic,22,9,72
281,9710,0,16,6,Spellbound,0,Action,999,English,0,11,Desperados 2: Cooper's Revenge,51,"50,000 .. 100,000",40,999,THQ Nordic,8,4,40
282,9730,0,21,3,,0,,999,English,0,21,Tycoon City: New York,99,"20,000 .. 50,000",56,999,Retroism,5,3,34
283,9760,0,236,15,Eugen Systems,0,Action,299,English,0,58,Act of War: High Treason,39,"20,000 .. 50,000",149,299,THQ Nordic,49,3,80
284,9800,1,280,7,Haggard Games,0,"Action, Adventure",499,"English, Russian, French, Italian, German, Spanish - Spain",1,112,Death to Spies,143,"50,000 .. 100,000",419,499,1C Entertainment,40,8,73
285,9850,0,37,0,"InnoGlow, Stormregion, THQ Nordic",0,"Simulation, Strategy",1499,"English, French, German, Spanish - Spain, Italian",0,38,Codename: Panzers - Cold War,52,"20,000 .. 50,000",79,1499,THQ Nordic,20,12,58
286,9880,781,2017,171,Cryptic Studios,0,"Free to Play, Massively Multiplayer, RPG",0,English,1054,105,Champions Online,803,"500,000 .. 1,000,000",2061,0,Perfect World Entertainment,35,20,71
287,9900,226,3169,3240,Cryptic Studios,0,"Free to Play, Massively Multiplayer, RPG",0,"English, French, German",199,271,Star Trek Online,2318,"1,000,000 .. 2,000,000",7498,0,Perfect World Entertainment,44,20,76
288,9940,0,264,3,Krome Studios,0,"Action, Adventure",299,"English, French, German, Italian, Spanish - Spain",0,184,Blade Kitten,148,"50,000 .. 100,000",740,299,Krome Studios,58,11,83
289,9960,0,18,0,ImagineEngline,0,Adventure,599,"English, French, German",0,19,Haunted House,14,"0 .. 20,000",9,599,Atari,6,1,40
290,9970,0,66,0,Incinerator Studios,0,Action,999,"English, French, German",0,69,Star Raiders,24,"0 .. 20,000",5,999,Atari,2,2,20
291,9980,0,24,0,Artech Studios,0,Casual,699,"English, French, German",0,28,The UnderGarden,24,"20,000 .. 50,000",47,699,Retroism,27,4,66
292,10090,167,2616,720,Treyarch,0,Action,1999,"English, French, Italian, German, Spanish - Spain",68,877,Call of Duty: World at War,1456,"1,000,000 .. 2,000,000",19214,1999,Activision,84,20,92
293,10100,7,233,13,Sierra,0,Adventure,1999,English,7,31,King's Quest Collection,32,"100,000 .. 200,000",123,1999,Activision,49,9,77
294,10110,0,214,7,Sierra,0,Adventure,1999,English,0,24,Space Quest Collection,42,"100,000 .. 200,000",140,1999,Activision,44,12,77
295,10120,0,11,0,Artech Studios,0,"Action, Casual",999,"English, French, German, Italian, Spanish - Spain",0,11,Aces of the Galaxy,15,"0 .. 20,000",14,999,Activision,10,4,46
296,10130,0,168,3,Saber Interactive,0,Action,1999,English,0,62,TimeShift,155,"100,000 .. 200,000",603,1999,Activision,49,14,79
297,10140,0,27,0,Wanako Games,0,Sports,999,"English, French, German, Italian, Spanish - Spain",0,49,3D Ultra Minigolf Adventures,27,"0 .. 20,000",51,999,Activision,26,4,67
298,10150,732,579,37,Radical Entertainment,0,"Action, Adventure",1999,"English, French, Spanish - Spain, Italian",1428,235,Prototype,857,"500,000 .. 1,000,000",3609,1999,Activision,52,20,80
299,10180,96,987,651,"Infinity Ward, Aspyr (Mac)",0,Action,1999,"English, French, German, Italian, Spanish - Spain",26,434,Call of Duty: Modern Warfare 2,2791,"5,000,000 .. 10,000,000",29459,1999,"Activision, Aspyr (Mac)",80,20,89
300,10220,0,213,3,Trashmasters,0,Action,1199,"English, Russian, German",0,131,Postal III,1064,"100,000 .. 200,000",624,1199,Akella,5,20,38
301,10230,0,0,0,Electronic Paradise,0,Adventure,799,"English, German, Russian",0,0,Dead Mountaineer's Hotel,62,"0 .. 20,000",25,799,Akella,3,2,31
302,10240,0,251,0,SPLine,0,Adventure,699,English,0,424,A Stroke of Fate: Operation Valkyrie,10,"0 .. 20,000",15,699,Akella,20,2,66
303,10250,0,168,0,Studio4,0,Simulation,699,English,0,235,PT Boats: Knights of the Sea,12,"0 .. 20,000",12,699,Akella,11,2,50
304,10260,0,42,0,studio4,0,Simulation,699,English,0,83,PT Boats: South Gambit,10,"0 .. 20,000",5,699,Akella,4,2,33
305,10270,0,673,68,Akella,0,"RPG, Strategy",999,"English, Russian",0,340,Disciples III: Reincarnation,242,"100,000 .. 200,000",605,999,bitComposer Games,35,9,66
306,10460,0,147,0,Bizarre Creations,0,Action,1499,English,0,113,The Club,49,"20,000 .. 50,000",48,1499,SEGA,11,2,51
307,10500,224,3156,3735,"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)",0,Strategy,2499,"English, French, Italian, German, Spanish - Spain, Russian, Polish, Czech",63,586,Total War: EMPIRE – Definitive Edition,1655,"2,000,000 .. 5,000,000",14687,2499,"SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",74,20,88
308,10520,0,0,0,Eurocom,0,Sports,0,English,0,0,Beijing 2008 - The Official Video Game of the Olympic Games,0,"0 .. 20,000",0,0,SEGA,,0,0
309,10680,34,605,84,Rebellion,0,Action,1499,"English, French, German, Italian, Russian, Spanish - Spain",34,252,Aliens vs. Predator,1156,"1,000,000 .. 2,000,000",9284,1499,SEGA,71,20,87
310,11020,103,316,373,Nadeo,0,Racing,0,"English, French, German, Italian, Spanish - Spain, Portuguese, Japanese, Traditional Chinese, Korean, Slovakian, Dutch, Russian, Hungarian, Czech, Polish",24,53,TrackMania Nations Forever,1184,"2,000,000 .. 5,000,000",8057,0,Ubisoft,69,20,87
311,11040,0,156,0,Frogwares,0,"Adventure, RPG",999,"English, French, Italian, German, Russian",0,82,Sherlock Holmes - Nemesis,41,"50,000 .. 100,000",113,999,Frogwares,38,6,74
312,11050,0,47,0,Frogwares,0,Adventure,999,"English, French, German, Italian, Polish, Russian, Spanish - Spain",0,68,Dracula Origin,44,"20,000 .. 50,000",90,999,Frogwares,28,4,67
313,11130,0,38,0,Frogwares,0,Adventure,0,"English, French, German, Italian, Polish, Portuguese - Brazil, Russian, Spanish - Spain",0,11,Sherlock Holmes: The Mystery of the Mummy,127,"100,000 .. 200,000",57,0,Frogwares,3,5,30
314,11140,0,286,3,Frogwares,0,Adventure,999,"English, French, German, Italian, Polish, Russian",0,282,Sherlock Holmes: The Awakened - Remastered Edition,45,"100,000 .. 200,000",172,999,Frogwares,49,7,79
315,11150,0,209,2,Frogwares,0,Adventure,999,"English, Bulgarian, Czech, French, German, Italian, Polish, Russian, Spanish - Spain",0,111,Sherlock Holmes: The Silver Earring,50,"100,000 .. 200,000",95,999,Frogwares,26,4,63
316,11180,0,278,1,Frogwares,0,"Adventure, Casual",999,"English, French, German, Spanish - Spain",0,191,Sherlock Holmes: The Mystery of the Persian Carpet,89,"0 .. 20,000",40,999,Frogwares,4,4,31
317,11190,0,291,4,Frogwares,0,"Adventure, RPG",999,"English, Czech, French, German, Italian, Polish, Portuguese, Portuguese - Brazil, Russian, Spanish - Spain",0,73,Sherlock Holmes versus Jack the Ripper,88,"100,000 .. 200,000",294,999,Frogwares,44,7,75
318,11200,0,212,4,Frozenbyte,85,Action,999,"English, French, Spanish - Spain",0,135,Shadowgrounds Survivor,237,"200,000 .. 500,000",330,149,Frozenbyte,18,11,58
319,11230,0,34,0,"CINEMAX, s.r.o.",0,"Casual, Indie, Racing",299,"English, German, Polish, Czech",0,12,Gumboy Tournament,142,"50,000 .. 100,000",353,299,"CINEMAX, s.r.o.",35,6,72
320,11240,0,71,0,Meridian4,0,"Action, Indie, Strategy",499,English,0,12,Space Trader: Merchant Marine,308,"200,000 .. 500,000",304,499,Meridian4,11,10,52
321,11250,0,128,0,"Buka Entertainment, Lesta Studio",0,"Simulation, Strategy",799,English,0,113,Pacific Storm,9,"50,000 .. 100,000",18,799,Buka Entertainment,27,4,69
322,11260,0,151,0,Lesta Studio,0,"Simulation, Strategy",799,English,0,163,Pacific Storm Allies,56,"50,000 .. 100,000",76,799,Buka Entertainment,17,4,55
323,11280,625,175,1,Frogames,0,"Action, Casual, Indie",599,English,625,117,Penguins Arena: Sedna's World,127,"100,000 .. 200,000",904,599,Frogames,69,10,89
324,11330,0,93,1,IonFX,0,"Casual, Indie",499,English,0,24,Obulis,130,"200,000 .. 500,000",586,499,Meridian4,54,8,83
325,11340,0,117,1,Meridian4,0,"Action, Indie",499,English,0,31,Larva Mortus,159,"100,000 .. 200,000",523,499,Meridian4,44,15,76
326,11360,0,40,1,2DEngine.com,0,Indie,499,English,0,13,Chains,142,"100,000 .. 200,000",432,499,Meridian4,42,9,74
327,11370,0,179,0,,0,,499,"English, French, German, Italian, Spanish - Spain",0,19,Nikopol: Secrets of the Immortals,127,"100,000 .. 200,000",163,499,Meridian4,16,12,59
328,11390,0,93,6,,0,,999,"English, French, German",0,24,Crash Time 2,1012,"500,000 .. 1,000,000",1140,999,Meridian4,13,9,56
329,11450,176,279,61,"Triumph Studios, Virtual Programming",0,RPG,499,"English, French, German, Spanish - Spain",341,70,Overlord,266,"1,000,000 .. 2,000,000",3387,499,Codemasters,84,20,93
330,11480,0,558,12,Best Way,0,Strategy,499,"English, French, German, Italian, Spanish - Spain, Russian",0,203,Soldiers: Heroes of World War II,60,"100,000 .. 200,000",265,499,1C Entertainment,54,3,79
331,11560,0,608,0,KDV Games,0,Strategy,499,"English, French, German, Italian, Spanish - Spain",0,1093,Maelstrom: The Battle for Earth Begins,43,"20,000 .. 50,000",69,499,Codemasters,21,2,62
332,11590,0,86,3,Deep Red Limited,0,Simulation,499,"English, French, German, Italian, Spanish - Spain, Dutch",0,29,Hospital Tycoon,293,"200,000 .. 500,000",174,499,Codemasters,5,3,45
333,11610,30,4458,94,Eyedentity Games Inc.,0,"Action, Free to Play, Massively Multiplayer, RPG",0,English,30,212,Dragon Nest,497,"500,000 .. 1,000,000",1456,0,Eyedentity Games Inc.,40,13,74
334,12100,289,281,92,Rockstar Games,0,Action,999,"English, French, German, Italian, Spanish - Spain",50,40,Grand Theft Auto III,726,"2,000,000 .. 5,000,000",4557,999,Rockstar Games,66,20,85
335,12110,85,399,303,Rockstar Games,0,Action,999,"English, French, German, Italian, Spanish - Spain",57,77,Grand Theft Auto: Vice City,782,"1,000,000 .. 2,000,000",9508,999,Rockstar Games,84,20,92
336,12120,230,1338,1314,Rockstar Games,0,Action,1499,English,42,153,Grand Theft Auto: San Andreas,3114,"2,000,000 .. 5,000,000",26122,1499,Rockstar Games,74,20,88
337,12130,0,167,7,Rockstar North,0,Action,999,"English, French, German, Italian, Spanish - Spain",0,27,Manhunt,415,"100,000 .. 200,000",790,999,Rockstar Games,26,18,67
338,12140,64,284,52,Remedy Entertainment,0,Action,999,English,93,98,Max Payne,415,"500,000 .. 1,000,000",3782,999,Rockstar Games,77,20,90
339,12150,37,297,28,Remedy Entertainment,0,Action,999,English,17,96,Max Payne 2: The Fall of Max Payne,168,"500,000 .. 1,000,000",2407,999,Rockstar Games,87,20,92
340,12160,0,162,5,Rockstar San Diego,0,Racing,0,"English, French, Italian, German, Spanish - Spain",0,21,Midnight Club 2,108,"100,000 .. 200,000",509,0,Rockstar Games,56,9,85
341,12170,0,28,1,Rockstar North,0,Action,0,English,0,5,Grand Theft Auto,29,"200,000 .. 500,000",195,0,Rockstar Games,69,11,83
