,appid,average_2weeks,average_forever,ccu,developer,discount,genre,initialprice,languages,median_2weeks,median_forever,name,negative,owners,positive,price,publisher,score_rank,tags,userscore
504,20540,0,831,69,Relic Entertainment,0,Strategy,1999,"English, French, German, Italian, Spanish - Spain",0,110,Company of Heroes: Tales of Valor,94,"2,000,000 .. 5,000,000",1324,1999,SEGA,87,11,92
505,20550,0,88,5,"Volition, Inc.",0,"Action, Strategy",999,English,0,38,Red Faction II,307,"200,000 .. 500,000",351,999,THQ Nordic,14,10,53
506,20570,2,1150,98,"Relic Entertainment, Feral Interactive (Mac/Linux)",0,Strategy,1999,"English, French, German, Italian, Spanish - Spain",2,407,"Warhammer 40,000: Dawn of War II Chaos Rising",160,"1,000,000 .. 2,000,000",1609,1999,"SEGA, Feral Interactive (Mac/Linux)",77,14,87
507,20700,0,141,0,Moonpod,0,"Action, Indie, Strategy",799,English,0,213,Starscape,15,"0 .. 20,000",51,799,Moonpod,45,5,79
508,20710,0,147,0,Moonpod,0,"Action, Indie, Strategy",799,English,0,88,Mr. Robot,12,"20,000 .. 50,000",54,799,Moonpod,54,7,81
509,20820,13,106,0,Sidhe,0,"Action, Indie",999,"English, French, German, Italian, Spanish - Spain",13,58,Shatter,63,"200,000 .. 500,000",952,999,PikPok,87,16,96
510,20900,276,866,894,CD PROJEKT RED,0,"Action, RPG",999,"English, French, German, Spanish - Spain, Italian, Czech, Russian, Hungarian, Polish, Traditional Chinese",106,149,The Witcher: Enhanced Edition Director's Cut,4085,"2,000,000 .. 5,000,000",25637,999,"CD PROJEKT RED, 1C-SoftClub",66,20,86
511,20920,208,807,909,CD PROJEKT RED,0,RPG,1999,"English, German, French, Spanish - Spain, Russian, Czech, Hungarian, Japanese, Polish, Turkish, Traditional Chinese, Italian",105,262,The Witcher 2: Assassins of Kings Enhanced Edition,4550,"5,000,000 .. 10,000,000",35744,1999,"CD PROJEKT RED, 1C-SoftClub",71,20,88
512,21000,35,325,53,Traveller's Tales,0,"Action, Adventure",1999,"English, French, Spanish - Spain",43,102,LEGO Batman,229,"200,000 .. 500,000",1012,1999,Warner Bros. Interactive Entertainment,54,20,80
513,21010,0,90,1,Deadline Games,0,Action,499,"English, French, Italian, German, Spanish - Spain",0,80,Watchmen: The End is Nigh,121,"50,000 .. 100,000",227,499,Warner Bros. Interactive Entertainment,26,6,64
514,21030,0,63,0,Deadline Games,0,Action,499,"English, French, German, Italian, Spanish - Spain",0,77,Watchmen: The End is Nigh Part 2,51,"20,000 .. 50,000",95,499,Warner Bros. Interactive Entertainment,26,3,66
515,21090,256,290,56,"Monolith Productions, Inc., Timegate",0,Action,5499,English,271,123,F.E.A.R.,424,"1,000,000 .. 2,000,000",6233,5499,Warner Bros. Interactive Entertainment,87,19,94
516,21100,63,334,55,Day 1 Studios,0,Action,1999,"English, French, German, Italian, Korean, Polish, Portuguese, Russian, Spanish - Spain",108,213,F.E.A.R. 3,2000,"1,000,000 .. 2,000,000",5259,1999,Warner Bros. Interactive Entertainment,36,20,71
517,21130,518,544,211,TT Games,0,"Action, Adventure",1999,"English, French, German, Italian, Spanish - Spain",547,236,LEGO Harry Potter: Years 1-4,450,"200,000 .. 500,000",1630,1999,Warner Bros. Interactive Entertainment,47,17,76
518,21300,0,49,0,Dark Castle Software,0,"Indie, Casual",499,English,0,48,Gravitron 2,8,"0 .. 20,000",21,499,Dark Castle Software,36,1,71
519,21400,0,94,0,Games Faction,0,"Strategy, Action, Indie",599,English,0,82,Project Aftermath,4,"0 .. 20,000",10,599,Games Faction,,4,0
520,21500,0,400,0,Eipix,0,Racing,499,English,0,400,Pyroblazer,3,"0 .. 20,000",5,499,Candella Systems Ltd,,2,0
521,21600,0,44,0,Certain Affinity™,0,"Casual, Strategy",0,English,0,44,Age of Booty,114,"20,000 .. 50,000",59,0,Capcom,4,3,34
522,21640,11,41,0,Proper Games,0,"Casual, Strategy",499,"English, French, German, Italian, Spanish - Spain",11,19,Flock!,33,"20,000 .. 50,000",109,499,Capcom,44,6,76
523,21660,0,1005,4,Capcom,0,Action,1999,"English, Japanese",0,373,Street Fighter IV,123,"50,000 .. 100,000",291,1999,Capcom,33,11,69
524,21670,0,193,4,Capcom,0,"Action, Adventure",999,"English, French, Spanish - Spain, Italian, #lang_german;, Russian, Polish, Japanese, German, Korean",0,49,Bionic Commando,241,"200,000 .. 500,000",637,999,Capcom,36,8,74
525,21680,1,68,2,Capcom,0,Action,999,"English, French, Spanish - Spain, Italian, #lang_german;, Japanese, German",1,16,Bionic Commando: Rearmed,283,"200,000 .. 500,000",453,999,Capcom,21,14,71
526,21690,331,1110,608,Capcom,0,"Action, Adventure",1999,"English, French, German, Italian, Japanese, Spanish - Spain, Czech, Polish, Russian, Simplified Chinese, Traditional Chinese",160,609,Resident Evil 5/ Biohazard 5,1538,"500,000 .. 1,000,000",8928,1999,Capcom,63,20,85
527,21780,23,338,3,Ubisoft Reflections,0,Racing,999,"English, French, German, Italian, Spanish - Spain",23,88,Driver Parallel Lines,45,"50,000 .. 100,000",345,999,Ubisoft,71,5,89
528,21800,274,314,13,Ubisoft  Shanghaï,0,Strategy,999,"English, French, German, Italian, Spanish - Spain",411,126,Tom Clancy's EndWar,104,"100,000 .. 200,000",266,999,Ubisoft,35,7,71
529,21980,0,343,11,Techland,0,Action,999,"English, French, German, Italian, Spanish - Spain",0,119,Call of Juarez: Bound in Blood,228,"100,000 .. 200,000",1086,999,Ubisoft,56,14,81
530,22000,38,117,12,2D BOY,0,Indie,999,English,56,39,World of Goo,232,"1,000,000 .. 2,000,000",3425,999,2D BOY,87,20,93
531,22100,263,698,127,TaleWorlds Entertainment,0,"Indie, RPG",999,"English, German, Polish, Simplified Chinese, Traditional Chinese, Czech",155,175,Mount & Blade,282,"500,000 .. 1,000,000",3143,999,TaleWorlds Entertainment,80,20,91
532,22120,1,225,10,Frictional Games,0,"Action, Adventure, Indie",999,English,1,177,Penumbra: Black Plague Gold Edition,77,"200,000 .. 500,000",1372,999,Frictional Games,90,20,94
533,22130,0,577,0,Paradox Development Studio,75,Strategy,1499,English,0,82,Hearts of Iron 2 Complete,46,"100,000 .. 200,000",210,374,Paradox Interactive,56,4,81
534,22140,15,88,4,Frictional Games,0,"Adventure, Indie",0,English,29,37,Penumbra: Requiem,202,"0 .. 20,000",219,0,Frictional Games,13,5,51
535,22180,1,182,13,Frictional Games,0,"Action, Adventure, Indie",999,English,1,86,Penumbra Overture,157,"200,000 .. 500,000",1630,999,Frictional Games,80,16,90
536,22200,76,207,2,ACE Team,0,"Action, Indie",999,"English, German, French, Polish, Spanish - Spain, Italian",76,154,Zeno Clash,346,"200,000 .. 500,000",1969,999,ACE Team,63,15,87
537,22230,0,167,10,ACE Team,0,"Action, Indie, Racing, Strategy",999,"English, French, German, Italian, Japanese, Russian, Spanish - Spain",0,91,Rock of Ages,243,"200,000 .. 500,000",2600,999,ATLUS USA,80,15,90
538,22300,352,1082,124,Bethesda Game Studios,0,RPG,999,"English, French, Italian, German, Spanish - Spain",123,199,Fallout 3,2621,"1,000,000 .. 2,000,000",9790,999,Bethesda Softworks,47,20,78
539,22310,148,393,2,Rebellion,0,Action,499,"English, French, Italian, German, Spanish - Spain",148,52,Rogue Warrior,229,"100,000 .. 200,000",448,499,Bethesda Softworks,27,9,67
540,22320,108,831,425,Bethesda Game Studios,0,RPG,1499,"English, French, German",31,112,The Elder Scrolls III: Morrowind Game of the Year Edition,528,"1,000,000 .. 2,000,000",9358,1499,Bethesda Softworks,90,20,94
541,22330,357,1464,1090,Bethesda Game Studios,0,RPG,1499,English,128,404,The Elder Scrolls IV: Oblivion Game of the Year Edition,782,"1,000,000 .. 2,000,000",13422,1499,Bethesda Softworks,90,20,94
542,22340,6,325,13,Headfirst Productions,0,,499,"English, French, German",6,105,Call of Cthulhu: Dark Corners of the Earth,583,"200,000 .. 500,000",1336,499,Bethesda Softworks,31,19,69
543,22350,258,485,40,Splash Damage,0,"Action, Free to Play",0,"English, French, German, Italian, Spanish - Spain",468,58,BRINK,2300,"1,000,000 .. 2,000,000",3399,0,Bethesda Softworks,19,20,59
544,22370,216,1110,342,Bethesda Game Studios,0,RPG,1999,"English, French, German, Italian, Spanish - Spain",40,273,Fallout 3: Game of the Year Edition,4369,"2,000,000 .. 5,000,000",17515,1999,Bethesda Softworks,52,20,79
545,22380,284,3291,3735,Obsidian Entertainment,0,"Action, RPG",999,"English, French, German, Italian, Spanish - Spain",69,1071,Fallout: New Vegas,3062,"2,000,000 .. 5,000,000",65502,999,Bethesda Softworks,93,20,95
546,22450,0,226,6,inXile Entertainment,0,"Action, Adventure",499,"English, French, German, Italian, Spanish - Spain",0,75,Hunted: The Demon’s Forge,207,"100,000 .. 200,000",476,499,Bethesda Softworks,31,11,69
547,22490,564,3144,742,Obsidian Entertainment,0,"Action, RPG",999,"English, French, German, Italian, Spanish",233,1217,Fallout: New Vegas,2153,"500,000 .. 1,000,000",46753,999,Bethesda Softworks,93,20,95
548,22500,0,807,1,"Apus Software, Three Donkeys LLC",0,Strategy,999,English,0,516,Spectromancer,19,"20,000 .. 50,000",125,999,Three Donkeys LLC,66,2,86
549,22600,66,446,68,Team17 Digital Ltd,0,Strategy,1999,"English, French, German, Italian, Spanish - Spain",106,167,Worms Reloaded,420,"500,000 .. 1,000,000",2452,1999,Team17 Digital Ltd,63,20,83
550,22610,0,142,5,Team17 Software Ltd.,0,Action,999,"English, French, German, Italian, Japanese, Spanish - Spain",0,46,Alien Breed: Impact,292,"200,000 .. 500,000",762,999,Team17 Digital Ltd,36,14,77
551,22650,15,100,2,Team17 Digital Ltd,0,Action,999,"English, French, German, Italian, Japanese, Spanish - Spain",15,29,Alien Breed 2: Assault,219,"200,000 .. 500,000",470,999,Team17 Digital Ltd,30,12,78
552,22670,0,81,1,Team17 Digital Ltd,0,Action,999,"English, French, German, Italian, Japanese, Spanish - Spain",0,14,Alien Breed 3: Descent,83,"200,000 .. 500,000",240,999,Team17 Digital Ltd,40,10,76
553,23150,0,115,0,Red Chain Games Ltd.,0,"Casual, Indie",199,"English, French, German, Italian, Spanish - Spain",0,115,Fluttabyes,5,"0 .. 20,000",12,199,Red Chain Games Ltd.,33,2,69
554,23300,0,95,0,Square Enix,0,Casual,599,"English, French, Italian, German, Spanish - Spain, Japanese",0,18,Yosumin!,65,"100,000 .. 200,000",99,599,Square Enix,20,2,81
555,23380,0,199,5,"Square Enix, PopCap Games, Inc.",0,RPG,599,"English, French, German, Italian, Japanese, Spanish - Spain",0,66,Gyromancer,109,"100,000 .. 200,000",121,599,Square Enix,13,4,64
556,23400,0,183,8,Haemimont Games,0,"Simulation, Strategy",999,"English, French, German",0,102,Imperium Romanum Gold Edition,44,"50,000 .. 100,000",184,999,Kalypso Media Digital,52,6,77
557,23420,0,211,0,Paradox Development Studio,0,Strategy,999,English,0,159,Europa Universalis: Rome - Gold Edition ,50,"100,000 .. 200,000",115,999,Paradox Interactive,31,7,67
558,23450,108,189,17,Haemimont Games,0,"Simulation, Strategy",999,"English, French, German",108,108,Grand Ages: Rome,133,"200,000 .. 500,000",344,999,Kalypso Media Digital,36,9,73
559,23455,0,0,0,Haemimont Games,0,"Strategy, Simulation",699,"English, French, German",0,0,Grand Ages: Rome - Reign of Augustus,0,"0 .. 20,000",0,699,Kalypso Media Digital,,0,0
560,23460,0,292,0,Realmforge Studios,0,"Action, Adventure, Strategy",599,"English, German",0,172,Ceville,18,"20,000 .. 50,000",81,599,Assemble Entertainment,54,6,83
561,23490,5,240,19,Haemimont Games,0,"Simulation, Strategy",999,"English, French, German, Italian, Spanish - Spain",5,31,Tropico 3,176,"200,000 .. 500,000",1335,999,Kalypso Media Digital,71,14,90
562,23500,0,633,2,Infinite Interactive,0,"Casual, RPG",999,English,0,529,Puzzle Quest: Galactrix,136,"50,000 .. 100,000",120,999,"D3Publisher of America, Inc.",9,5,47
563,23530,414,613,7,"Vicious Cycle Software, Inc.",0,Action,999,English,414,181,Earth Defense Force: Insect Armageddon,92,"100,000 .. 200,000",724,999,"D3Publisher of America, Inc.",71,10,89
564,23600,0,89,0,Soldak Entertainment,0,"Indie, RPG, Strategy",999,English,0,31,Depths of Peril,24,"50,000 .. 100,000",67,999,Soldak Entertainment,38,5,83
565,23700,0,226,1,Infinite Interactive,0,Casual,1499,English,0,40,Puzzle Kingdoms,101,"50,000 .. 100,000",137,1499,Strategy First,17,6,58
566,24010,282,2242,2031,Dovetail Games,0,Simulation,2999,"English, French, Italian, German, Spanish - Spain, Polish, Russian, Simplified Chinese",212,328,Train Simulator 2019,5207,"1,000,000 .. 2,000,000",8428,2999,Dovetail Games - Trains,21,20,62
567,24200,443,2975,678,Daybreak Game Company,0,"Action, Adventure, Free to Play, Massively Multiplayer, RPG",0,English,565,532,DC Universe Online,2593,"50,000 .. 100,000",10035,0,Daybreak Game Company,49,20,79
568,24240,775,892,69,OVERKILL Software,0,Action,1499,"English, French, German, Italian, Spanish - Spain",52,229,PAYDAY The Heist,2527,"2,000,000 .. 5,000,000",34700,1499,Daybreak Game Company,87,20,92
569,24400,0,585,10,NeocoreGames,0,"RPG, Strategy",999,English,0,121,King Arthur - The Role-playing Wargame,111,"200,000 .. 500,000",309,999,Paradox Interactive,38,7,72
570,24410,0,13,0,NeocoreGames,0,Strategy,999,"English, French, German, Italian, Spanish - Spain",0,17,Crusaders: Thy Kingdom Come,11,"0 .. 20,000",12,999,Paradox Interactive,13,3,52
571,24420,0,289,4,"Bit Blot, LLC",0,Indie,999,English,0,34,Aquaria,131,"200,000 .. 500,000",999,999,"Bit Blot, LLC",71,20,91
572,24460,0,428,0,NeocoreGames,0,"RPG, Strategy",499,"English, French, German, Spanish - Spain",0,567,King Arthur: Fallen Champions,20,"0 .. 20,000",13,499,Paradox Interactive,6,3,41
573,24480,0,377,7,NeocoreGames,0,"RPG, Strategy",999,English,0,84,King Arthur II: The Role-Playing Wargame,166,"200,000 .. 500,000",185,999,Paradox Interactive,13,5,53
574,24640,21,35,0,N3V Games,0,Simulation,1999,English,21,39,Trainz: Classic Cabon City,29,"20,000 .. 50,000",14,1999,N3V Games,4,2,21
575,24650,0,378,0,N3V Games,0,Simulation,1999,English,0,696,Trainz Settle and Carlisle,17,"0 .. 20,000",13,1999,N3V Games,8,2,60
576,24660,0,82,0,N3V Games,0,Simulation,0,English,0,150,Trainz: Murchison 2,13,"0 .. 20,000",16,0,N3V Games,15,2,70
577,24670,2,2141,94,N3V Games,0,Simulation,999,English,2,58,Trainz Simulator 12,355,"200,000 .. 500,000",482,999,N3V Games,17,5,62
578,24720,6,790,233,EA - Maxis,0,"Action, Simulation",1999,"English, French, German, Italian, Spanish - Spain, Dutch, Russian, Polish, Czech, Hungarian, Finnish, Norwegian, Swedish, Danish, Portuguese",6,177,SPORE Galactic Adventures,445,"500,000 .. 1,000,000",1919,1999,Electronic Arts,54,18,80
579,24740,157,415,113,Criterion Games,0,Racing,1999,English,145,148,Burnout Paradise: The Ultimate Box,1466,"1,000,000 .. 2,000,000",9657,1999,Electronic Arts,66,20,87
580,24780,302,1239,400,"EA - Maxis, Aspyr (Mac)",0,"Simulation, Strategy",1999,"English, Danish, Dutch, French, German, Italian, Spanish - Spain, Swedish",576,109,SimCity 4 Deluxe Edition,928,"500,000 .. 1,000,000",3070,1999,"Electronic Arts, Aspyr (Mac)",44,17,75
581,24790,172,887,313,EA Los Angeles,0,Strategy,1499,"English, Dutch, French, German, Italian, Polish, Russian, Spanish - Spain, Swedish",137,306,Command & Conquer 3: Tiberium Wars,282,"500,000 .. 1,000,000",2247,1499,Electronic Arts,71,9,88
582,24800,176,434,181,EA Los Angeles,0,Strategy,1999,"English, Czech, French, German, Hungarian, Italian, Korean, Polish, Russian, Spanish - Spain",316,71,Command & Conquer: Red Alert 3 - Uprising,358,"500,000 .. 1,000,000",1410,1999,Electronic Arts,49,11,84
583,24810,366,1081,224,EA Los Angeles,0,Strategy,1999,"English, Dutch, French, German, Italian, Polish, Russian, Spanish - Spain, Swedish",610,411,Command & Conquer 3: Kane's Wrath,73,"200,000 .. 500,000",1051,1999,Electronic Arts,87,7,93
584,24840,43,261,61,EA Los Angeles,0,Action,999,"English, German, French, Spanish - Spain, Italian",51,147,Medal of Honor: Airborne,442,"500,000 .. 1,000,000",1676,999,Electronic Arts,49,13,78
585,24870,145,434,38,Slightly Mad Studios,0,Racing,1999,"English, French, German, Italian, Polish, Russian",288,213,Need for Speed: Shift,395,"200,000 .. 500,000",1071,1999,Electronic Arts,38,9,72
586,24960,232,1687,424,DICE,0,Action,1999,"English, French, German, Italian, Japanese, Polish, Spanish - Spain",77,459,Battlefield: Bad Company 2,3809,"2,000,000 .. 5,000,000",22830,1999,Electronic Arts,63,20,84
587,24980,328,1876,299,BioWare,0,RPG,1999,"English, French, German, Czech, Hungarian, Italian, Polish, Russian, Spanish - Spain",542,1181,Mass Effect 2,520,"1,000,000 .. 2,000,000",10501,1999,Electronic Arts,93,20,95
588,25000,192,332,47,Wolfire Games,0,"Action, Indie",2999,English,347,181,Overgrowth,1293,"200,000 .. 500,000",3142,2999,Wolfire Games,33,20,75
589,25010,0,50,1,Wolfire Games,0,Action,999,English,0,23,Lugaru HD,98,"100,000 .. 200,000",314,999,Wolfire Games,44,16,81
590,25500,0,107,0,Mindstorm Studios,0,"Indie, Simulation, Sports",299,English,0,76,Cricket Revolution,50,"20,000 .. 50,000",64,299,Mindstorm Studios,16,3,49
591,25600,0,235,4,Basilisk Games,0,"Indie, RPG",0,English,0,134,Eschalon: Book I,23,"20,000 .. 50,000",166,0,Basilisk Games,69,9,87
592,25620,0,230,0,Basilisk Games,0,"Indie, RPG",599,English,0,342,Eschalon: Book II,12,"50,000 .. 100,000",57,599,Basilisk Games,56,6,86
593,25700,0,261,0,Playbrains,0,Indie,499,"English, German, Korean, Portuguese, Spanish - Spain, French, Italian, Russian",0,119,Madballs in Babo:Invasion ,38,"50,000 .. 100,000",195,499,Playbrains,58,6,84
594,25800,84,1105,76,Paradox Development Studio,0,Strategy,1499,"English, German",102,119,Europa Universalis III Complete,239,"100,000 .. 200,000",1181,1499,Paradox Interactive,58,14,85
595,25808,0,0,0,Paradox Development Studio,0,Strategy,999,"English, German",0,0,Europa Universalis III: Divine Wind,1,"0 .. 20,000",19,999,Paradox Interactive,93,1,100
596,25830,37,459,61,Black Sea Studios Ltd,0,Strategy,999,English,37,253,Knights of Honor,85,"100,000 .. 200,000",981,999,Paradox Interactive,84,9,92
597,25850,0,185,2,1C:InoCo,0,"RPG, Strategy",499,"English, Russian",0,112,Elven Legacy,27,"50,000 .. 100,000",74,499,1C Entertainment,38,4,72
598,25890,150,1333,224,Paradox Development Studio,0,Strategy,999,"English, French, German, Spanish - Spain",224,228,Hearts of Iron III,959,"500,000 .. 1,000,000",3254,999,Paradox Interactive,45,15,77
599,25900,553,1178,135,1C Entertainment,0,"RPG, Strategy",699,"English, Russian, French, Italian, German, Spanish - Spain, Czech, Japanese, Hungarian, Traditional Chinese, Polish",290,166,King's Bounty: The Legend,138,"200,000 .. 500,000",1265,699,1C Entertainment,77,16,91
600,25910,461,1720,0,BattleGoat Studios,0,Strategy,999,"English, French, German, Spanish - Spain",461,1126,Supreme Ruler 2020 Gold,36,"50,000 .. 100,000",137,999,BattleGoat Studios,49,4,80
601,25930,0,152,0,Nitro Games,0,Strategy,999,"English, French, German",0,70,East India Company,48,"50,000 .. 100,000",43,999,Nitro Games,10,5,46
602,25980,0,314,8,1C:InoCo,0,"Simulation, Strategy",999,English,0,187,Majesty 2,126,"100,000 .. 200,000",301,999,Paradox Interactive,33,6,69
603,25990,0,126,1,Cyberlore,0,"Strategy, Simulation",999,English,0,35,Majesty Gold HD,21,"100,000 .. 200,000",317,999,Paradox Interactive,87,10,94
604,26000,0,218,2,Twisted Pixel Games,0,"Action, Indie",999,"English, French, Italian, German, Spanish - Spain, Korean, Japanese, Traditional Chinese",0,73,The Maw,35,"50,000 .. 100,000",160,999,Twisted Pixel Games,56,8,80
605,26300,0,111,0,Paleo Entertainment,0,"Action, Indie",499,English,0,116,Drug Wars,30,"0 .. 20,000",13,499,Paleo Entertainment,3,2,33
606,26500,0,114,3,Lazy 8 Studios,0,"Indie, Casual",599,"English, French, German, Italian, Polish, Russian",0,25,Cogs,86,"500,000 .. 1,000,000",645,599,"PopCap Games, Inc.",71,8,90
607,26800,87,186,16,Number None,0,"Casual, Indie, Strategy",1499,"English, French, Italian, Portuguese, German, Spanish - Spain, Japanese, Korean, Traditional Chinese",131,83,Braid,381,"1,000,000 .. 2,000,000",6466,1499,Number None,90,20,94
608,26900,0,47,4,Kloonigames,0,"Casual, Indie",1999,English,0,23,Crayon Physics Deluxe,109,"500,000 .. 1,000,000",660,1999,Kloonigames,63,14,92
609,27000,0,184,1,Tale of Tales,0,"Adventure, Indie",999,"English, Dutch, Danish, French, German, Hungarian, Italian, Portuguese, Spanish - Spain",0,118,The Path,176,"100,000 .. 200,000",500,999,Tale of Tales,38,18,75
610,27020,0,7,1,Tale of Tales,0,"Indie, Simulation",499,English,0,8,The Graveyard,196,"0 .. 20,000",301,499,Tale of Tales,20,12,61
611,27050,0,27,0,Tale of Tales,0,"Adventure, Casual, Indie",699,English,0,37,Fatale,43,"0 .. 20,000",52,699,Tale of Tales,14,5,52
612,27200,0,23,0,49 Games,0,Sports,1999,"English, French, German, Italian, Spanish - Spain",0,28,Summer Athletics,10,"0 .. 20,000",11,1999,DTP Entertainment,13,1,72
613,27330,0,152,4,Zombie Studios,0,Action,99,English,0,84,Blacklight: Tango Down,208,"20,000 .. 50,000",130,99,Ignition Entertainment,6,3,39
614,27400,0,63,0,Mousechief,0,"RPG, Indie, Casual",1999,English,0,46,Dangerous High School Girls in Trouble!,61,"100,000 .. 200,000",111,1999,Mousechief,24,7,75
615,27600,0,0,0,Red Rocket Games,0,"Indie, Casual",999,English,0,0,Mevo and The Grooveriders,2,"0 .. 20,000",21,999,Red Rocket Games,80,3,94
616,27800,0,12,0,Llamasoft LTD,0,Indie,999,"English, French, German, Italian, Spanish - Spain, Portuguese, Japanese",0,4,Space Giraffe,16,"20,000 .. 50,000",36,999,Llamasoft LTD,31,5,70
617,27810,0,48,0,Llamasoft LTD,0,Indie,999,"English, Italian, Japanese, Portuguese",0,36,Gridrunner Revolution,9,"20,000 .. 50,000",36,999,Llamasoft LTD,52,3,80
618,27900,0,67,0,DnS Development,0,"Action, Adventure",499,"English, French, German, Italian, Spanish - Spain, #lang_#lang_spanish*#lang_full_audio",0,43,Twin Sector,147,"50,000 .. 100,000",87,499,DnS Development,5,7,39
619,27920,0,154,0,DnS Development,0,"Action, Indie",199,English,0,26,Booster Trooper,93,"20,000 .. 50,000",92,199,DnS Development,11,5,52
620,27940,0,69,1,DnS Development,0,"Action, Indie",599,"English, Polish, Russian, Spanish - Spain",0,44,Dead Horde,406,"100,000 .. 200,000",204,599,DnS Development,4,9,35
621,28000,43,261,24,IO Interactive,0,Action,999,"English, French, German, Italian, Spanish - Spain",59,85,Kane & Lynch 2: Dog Days,1758,"500,000 .. 1,000,000",2640,999,Square Enix,20,20,60
622,29120,110,83,0,KranX Productions,0,"Indie, Casual",499,"English, German",110,99,Yumsters 2: Around the World,26,"20,000 .. 50,000",53,499,KranX Productions,,2,0
623,29130,0,144,0,KranX Productions,0,"Indie, Casual",499,"English, German",0,152,Musaic Box,12,"20,000 .. 50,000",176,499,KranX Productions,87,4,95
624,29160,0,57,0,Erik Svedäng,0,"Adventure, Indie",499,English,0,42,Blueberry Garden,28,"20,000 .. 50,000",96,499,Erik Svedäng,45,4,75
625,29180,67,131,4,Hemisphere Games,0,"Indie, Casual",999,"English, French, German, Spanish - Spain, Italian",67,46,Osmos,105,"500,000 .. 1,000,000",850,999,Hemisphere Games,74,20,90
626,29540,0,0,0,ArenaNet®,0,"RPG, Massively Multiplayer",1999,"English, French, Italian, German, Spanish - Spain, Russian, Polish, Korean, Japanese",0,0,Guild Wars<sup></sup> Game of the Year Edition,0,"0 .. 20,000",8,1999,NCsoft,,4,0
627,29560,0,0,0,ArenaNet®,0,"RPG, Massively Multiplayer",1999,"English, French, Italian, German, Spanish - Spain, Russian, Polish, Korean, Japanese <br /><br /> ",0,0,Guild Wars Factions<sup></sup>,0,"0 .. 20,000",0,1999,NCsoft,,0,0
628,29570,0,0,0,ArenaNet®,0,"Massively Multiplayer, RPG",2999,"English, French, Italian, German, Spanish - Spain, Russian, Polish, Korean, Japanese",0,0,Guild Wars Trilogy,1,"0 .. 20,000",27,2999,NCsoft,95,4,100
629,29580,0,0,0,ArenaNet®,0,"RPG, Massively Multiplayer",1999,"English, French, Italian, German, Spanish - Spain, Russian, Polish, Korean, Japanese <br /><br /> ",0,0,Guild Wars Nightfall<sup></sup>,0,"0 .. 20,000",0,1999,NCsoft,,0,0
630,29600,0,0,0,,0,,0,,0,0,Guild Wars: Game of the Year,0,"0 .. 20,000",7,0,,,7,0
631,29610,0,0,0,,0,,0,,0,0,Guild Wars: Factions,0,"0 .. 20,000",1,0,,,2,0
632,29620,0,0,0,,0,,0,,0,0,Guild Wars: Trilogy,1,"0 .. 20,000",10,0,,77,2,90
633,29630,0,0,0,,0,,0,,0,0,Guild Wars: Nightfall,0,"0 .. 20,000",2,0,,,2,0
634,29700,0,0,0,ArenaNet®,0,"Action, RPG, Massively Multiplayer",1999,"English, French, German, Italian, Japanese, Korean, Polish, Russian, Spanish - Spain",0,0,Guild Wars: Eye of the North,0,"0 .. 20,000",1,1999,NCsoft,,4,0
635,29800,310,272,3,Elecorn,0,"Action, Adventure, Casual, Indie, RPG, Strategy",199,English,310,114,Caster,873,"200,000 .. 500,000",3285,199,Elecorn,49,12,79
636,29900,0,203,3,Digital Extremes,0,Action,999,"English, French",0,79,Dark Sector,94,"50,000 .. 100,000",329,999,ND Games,45,7,81
637,31220,6,122,4,Telltale Games,0,"Action, Adventure",0,English,6,44,Sam & Max 301: The Penal Zone,34,"0 .. 20,000",312,0,Telltale Games,77,9,92
638,31230,0,163,0,Telltale Games,0,Adventure,0,English,0,184,Sam & Max 302: The Tomb of Sammun-Mak,8,"0 .. 20,000",28,0,Telltale Games,45,1,92
639,31240,0,185,0,Telltale Games,0,Adventure,0,English,0,196,Sam & Max 303: They Stole Max's Brain!,6,"0 .. 20,000",25,0,Telltale Games,52,1,90
640,31250,0,164,0,Telltale Games,0,Adventure,0,English,0,175,Sam & Max 304: Beyond the Alley of the Dolls,5,"0 .. 20,000",23,0,Telltale Games,56,1,91
641,31260,0,132,0,Telltale Games,0,Adventure,0,English,0,165,Sam & Max 305: The City That Dares Not Sleep,5,"0 .. 20,000",30,0,Telltale Games,63,1,93
642,31270,0,239,6,Telltale Games,0,"Adventure, Casual",499,English,0,133,Puzzle Agent,212,"500,000 .. 1,000,000",1554,499,Telltale Games,69,20,87
643,31280,40,299,31,Telltale Games,0,"Casual, Sports",499,English,46,150,Poker Night at the Inventory,999,"500,000 .. 1,000,000",6377,499,Soldak Entertainment,66,18,86
644,31300,0,0,0,Replay Studios,0,Action,1999,"English, #lang_#lang_#lang_english**#lang_full_audio*#lang_full_audio",0,0,Tunnel Rats,19,"0 .. 20,000",11,1999,Boll AG,5,2,34
645,31700,0,82,2,ISOTX,0,"Action, Indie",0,English,0,36,Iron Grip: Warlord,50,"100,000 .. 200,000",312,0,ISOTX,66,6,87
646,31800,0,16,0,HeR Interactive,0,Adventure,699,English,0,30,Nancy Drew: Danger by Design,9,"0 .. 20,000",13,699,HeR Interactive,19,5,61
647,31810,0,530,0,HeR Interactive,0,Adventure,699,English,0,784,Nancy Drew: Last Train to Blue Moon Canyon,3,"20,000 .. 50,000",46,699,HeR Interactive,87,6,92
